file,qualified_name,type,name,signature,visibility,line,description,inputs,outputs,side_effects,dependencies,dev_usage,evidence_status,review_status
core.py,core.V2SimInstance.result_dir,method,result_dir,(self),public,356,Folder of results,(self),,,self.__outdir,,auto_generated,pending
core.py,core.V2SimInstance.ctime,method,ctime,(self),public,361,"Current simulation time, in second",(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.step_length,method,step_length,(self),public,366,"Step length, in second",(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.btime,method,btime,(self),public,371,"Simulation start time, in second",(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.etime,method,etime,(self),public,376,"Simulation end time, in second",(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.clientID,method,clientID,(self),public,381,Client ID in multiprocessing simulation,(self),,,self.__clntID,,auto_generated,pending
core.py,core.V2SimInstance.silent,method,silent,(self),public,386,Indicate whether disable output,(self),,,self.__silent,,auto_generated,pending
core.py,core.V2SimInstance.plugins,method,plugins,(self),public,391,Plugins in the project,(self),,,self.__plgman,,auto_generated,pending
core.py,core.V2SimInstance.statistics,method,statistics,(self),public,396,Statistics in the project,(self),,,self.__sta,,auto_generated,pending
core.py,core.V2SimInstance.core,method,core,(self),public,401,Simulation core,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.fcs,method,fcs,(self),public,406,List of FCSs,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.scs,method,scs,(self),public,411,List of SCSs,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.gs,method,gs,(self),public,416,List of GSs,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.vehicles,method,vehicles,(self),public,421,Dict of vehicles,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.edges,method,edges,(self),public,426,List of the edges,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.edge_names,method,edge_names,(self),public,431,Name list of the edges,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.veh_count,method,veh_count,(self),public,436,Number of vehicles,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.is_working,method,is_working,(self),public,441,Determine whether the simulation has started,(self),,,self.__working_flag,,auto_generated,pending
core.py,core.V2SimInstance.pdn,method,pdn,(self) -> Optional[PluginPDN],public,446,Power grid plugin,(self) -> Optional[PluginPDN],,,self.__gridplg,,auto_generated,pending
core.py,core.V2SimInstance.trips_logger,method,trips_logger,(self) -> TripsLogger,public,451,Trip logger,(self) -> TripsLogger,,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.uxsim,method,uxsim,(self),public,456,Traffic simulator object,(self),,,self.__inst,,auto_generated,pending
core.py,core.V2SimInstance.send_to_host,method,send_to_host,"(self, command: str, obj: Any)",public,462,Send message to host process,"(self, command: str, obj: Any)",,,Lang.NO_HOST_EXISTS; self.__mpQ; self.__mpsend,,auto_generated,pending
core.py,core.V2SimInstance.start,method,start,(self),public,467,Start simulation.,(self),,,self.__inst; self.__plgman; self.__progress; self.__progress_lock; self.__working_flag,,auto_generated,pending
core.py,core.V2SimInstance.step,method,step,(self) -> int,public,479,Simulation steps.,(self) -> int,,,self.__inst; self.__plgman; self.__sta,,auto_generated,pending
